id,name,city,state,historical_booking_count,genre_history_count,has_capacity,has_genre_history,has_coordinates,has_resolved_market
venue_9f50007a984d55f0a38208deeaece329,The East Room,Nashville,TN,7,2,True,True,False,True
venue_936c844b74825eb59d7904cd53301bdc,The Foundry,Cleveland,OH,7,2,True,True,False,True
venue_c932315b05a8574197c573cb19aa9293,Three Links Deep Ellum,Dallas,TX,7,6,False,True,False,True
venue_af6d58165f9250b0bb2cb3141c7cf6cc,WAMU Theater,Seattle,WA,7,3,False,True,False,True
venue_561d4d15c6b55086b65cd4e6b9aaac3e,1015 Folsom,San Francisco,CA,6,0,False,False,False,True
venue_84f3b236694457f2a2eb24bd30856492,3TEN ACL Live,Austin,TX,6,2,False,True,False,True
venue_0b51275a0ec05084964eab3429cc2cd0,Academy LA,Los Angeles,CA,6,1,False,True,False,True
venue_300d1481724c53829a06714f1fdc28c0,Avondale Music Hall,Chicago,IL,6,3,True,True,False,True
venue_60ddb5f56dd155cf921948b55f832bf5,Bill Graham Civic Auditorium,San Francisco,CA,6,3,False,True,False,True
venue_f5ef1225aef95810bbfff1c5a0b6c74c,CLUB 909 at the Music Hall at Fair Park,Dallas,TX,6,1,False,True,False,True
venue_545e728c1fbb5d408de86fec2263b43b,Eastside Bowl,Nashville,TN,6,2,True,True,False,True
venue_998bfb509fdb5245a4de187a68a33270,El Rey Theatre - Los Angeles,Los Angeles,CA,6,3,True,True,False,True
venue_0ba17d7135025991aeb3f494b0693b6b,Exchange LA,Los Angeles,CA,6,2,False,True,False,True
venue_35d16488c50155aabedd4dc29d35982c,Neck of the Woods,San Francisco,CA,6,2,False,True,False,True
venue_505f7aea8e905c33814dcedd79dcb1be,Neumos,Seattle,WA,6,1,False,True,False,True
venue_67302fffab105bb5a36708aa58d69a9f,Rickshaw Stop,San Francisco,CA,6,4,False,True,False,True
venue_5764dbce638b5dccb7bc150e2ad39176,Sound Board at MotorCity Casino Hotel,Detroit,MI,6,4,True,True,False,True
venue_8968e714e1e756fea975e72b2fd2df1c,Stateside Live Philadelphia,Philadelphia,PA,6,2,False,True,False,True
venue_fd704c61df0a53f48ae494576e7c4578,T-Mobile Park,Seattle,WA,6,1,False,True,False,True
venue_d2b69d76cc1d5b1394003d12c28e1e43,The Far Out Lounge,Austin,TX,6,0,False,False,False,True
venue_a0a0637f109f5871b9c3a066a1864345,The Masonic,San Francisco,CA,6,5,False,True,False,True
venue_71aaaeb9cbb05024a88ddca0e1135946,The Studio at the Bomb Factory,Dallas,TX,6,6,False,True,False,True
venue_85212db23af250a0bf5b846e52b81860,Virginia Credit Union LIVE!,Richmond,VA,6,2,True,True,False,True
venue_f81d90619e845fcfa063641898622571,World Cafe Live-Philadelphia,Philadelphia,PA,6,4,True,True,False,True
venue_d1575c78ef395578b1cf27114a2d182e,BMO Stadium,Los Angeles,CA,5,3,False,True,False,True
venue_b208af843bbd543b8c8542b6afe85b45,Baba Yaga,Seattle,WA,5,3,False,True,False,True
venue_8e510eb2817557c3ac48f09a9198e76e,Bimbo's 365 Club,San Francisco,CA,5,4,False,True,False,True
venue_711807e302b55b52be2e9c0b86bd9415,Boch Center Wang Theatre,Boston,MA,5,5,True,True,False,True
venue_0d41dbb2054a5774bcb06b45d1cd1d2b,Cannery Hall,Nashville,TN,5,1,True,True,False,True
venue_330af314983157d6b1e7eab27f6b69c6,Club Cafe,Pittsburgh,PA,5,8,True,True,False,True
venue_93f74d1110ee58e5a44195b093a4799b,Crypto.com Arena,Los Angeles,CA,5,4,False,True,False,True
venue_1c7f730f70c45542a6bd581030a583ea,Empire Garage,Austin,TX,5,2,False,True,False,True
venue_db9bd14bba38554fb30ffb17b2bf2f3d,Fox Theatre - Atlanta,Atlanta,GA,5,10,True,True,False,True
